변수명,변수설명,변수설명2
Age,해당 직원의 나이,
Attrition,퇴직 여부 Target값 (종속변수),
BusinessTravel,출장의 빈도,
DailyRate,일 대비 급여의 수준,
Department,업무분야,
DistanceFromHome,집과의 거리,
Education,교육의 정도,
1,‘Below College’,대학 이하
2,‘College’,전문대
3,‘Bachelor’,학사
4,‘Master’,석사
5,‘Doctor’,박사
EducationField,전공,
EmployeeCount,직원 숫자,
EmployeeNumber,직원 ID,
EnvironmentSatisfaction,업무 환경에 대한 만족도,
1,‘Low’,
2,‘Medium’,
3,‘High’,
4,‘Very High’,
Gender,성별,
HourlyRate,시간 대비 급여의 수준,
JobInvolvement,업무 참여도,
1,‘Low’,
2,‘Medium’,
3,‘High’,
4,‘Very High’,
JobLevel,업무의 수준,
JobRole,업무 종류,
JobSatisfaction,업무 만족도,
1,‘Low’,
2,‘Medium’,
3,‘High’,
4,‘Very High’,
MaritalStatus,결혼 여부,
MonthlyIncome,월 소득,
MonthlyRate,월 대비 급여 수준,
NumCompaniesWorked,일한 회사의 수,
Over18,18세 이상,
OverTime,규정외 노동시간,
PercentSalaryHike,급여의 증가분 백분율,
PerformanceRating,업무 성과,
1,‘Low’,
2,‘Good’,
3,‘Excellent’,
4,‘Outstanding’,
RelationshipSatisfaction,대인관계 만족도,
1,‘Low’,
2,‘Medium’,
3,‘High’,
4,‘Very High’,
StandardHours,표준 시간,
StockOptionLevel,스톡옵션 정도,
TotalWorkingYears,경력 기간,
TrainingTimesLastYear,교육 시간,
WorkLifeBalance,일과 생활의 균형 정도,
1,‘Bad’,
2,‘Good’,
3,‘Better’,
4,‘Best’,
YearsAtCompany,근속 연수,
YearsInCurrentRole,현재 역할의 년수,
YearsSinceLastPromotion,마지막 프로모션,
YearsWithCurrManager,현재 관리자와 함께 보낸 시간,
